"","Month","Team","Popularity"
"423","2009-01","Brooklyn.Nets",1
"424","2009-02","Brooklyn.Nets",1
"425","2009-03","Brooklyn.Nets",1
"426","2009-04","Brooklyn.Nets",1
"427","2009-05","Brooklyn.Nets",1
"428","2009-06","Brooklyn.Nets",1
"429","2009-07","Brooklyn.Nets",1
"430","2009-08","Brooklyn.Nets",0
"431","2009-09","Brooklyn.Nets",2
"432","2009-10","Brooklyn.Nets",1
"433","2009-11","Brooklyn.Nets",2
"434","2009-12","Brooklyn.Nets",1
"435","2010-01","Brooklyn.Nets",1
"436","2010-02","Brooklyn.Nets",2
"437","2010-03","Brooklyn.Nets",2
"438","2010-04","Brooklyn.Nets",2
"439","2010-05","Brooklyn.Nets",3
"440","2010-06","Brooklyn.Nets",2
"441","2010-07","Brooklyn.Nets",3
"442","2010-08","Brooklyn.Nets",1
"443","2010-09","Brooklyn.Nets",1
"444","2010-10","Brooklyn.Nets",1
"445","2010-11","Brooklyn.Nets",1
"446","2010-12","Brooklyn.Nets",2
"447","2011-01","Brooklyn.Nets",3
"448","2011-02","Brooklyn.Nets",4
"449","2011-03","Brooklyn.Nets",2
"450","2011-04","Brooklyn.Nets",1
"451","2011-05","Brooklyn.Nets",2
"452","2011-06","Brooklyn.Nets",2
"453","2011-07","Brooklyn.Nets",1
"454","2011-08","Brooklyn.Nets",1
"455","2011-09","Brooklyn.Nets",10
"456","2011-10","Brooklyn.Nets",5
"457","2011-11","Brooklyn.Nets",3
"458","2011-12","Brooklyn.Nets",8
"459","2012-01","Brooklyn.Nets",3
"460","2012-02","Brooklyn.Nets",5
"461","2012-03","Brooklyn.Nets",5
"462","2012-04","Brooklyn.Nets",37
"463","2012-05","Brooklyn.Nets",71
"464","2012-06","Brooklyn.Nets",36
"465","2012-07","Brooklyn.Nets",100
"466","2012-08","Brooklyn.Nets",38
"467","2012-09","Brooklyn.Nets",60
"468","2012-10","Brooklyn.Nets",78
"469","2012-11","Brooklyn.Nets",97
"470","2012-12","Brooklyn.Nets",82
"471","2013-01","Brooklyn.Nets",54
"472","2013-02","Brooklyn.Nets",47
"473","2013-03","Brooklyn.Nets",35
"474","2013-04","Brooklyn.Nets",52
"475","2013-05","Brooklyn.Nets",31
"476","2013-06","Brooklyn.Nets",35
"477","2013-07","Brooklyn.Nets",46
"478","2013-08","Brooklyn.Nets",22
"479","2013-09","Brooklyn.Nets",19
"480","2013-10","Brooklyn.Nets",44
"481","2013-11","Brooklyn.Nets",58
"482","2013-12","Brooklyn.Nets",44
"483","2014-01","Brooklyn.Nets",46
"484","2014-02","Brooklyn.Nets",37
"485","2014-03","Brooklyn.Nets",40
"486","2014-04","Brooklyn.Nets",61
"487","2014-05","Brooklyn.Nets",90
"488","2014-06","Brooklyn.Nets",13
"489","2014-07","Brooklyn.Nets",17
"490","2014-08","Brooklyn.Nets",11
"491","2014-09","Brooklyn.Nets",10
"492","2014-10","Brooklyn.Nets",20
"493","2014-11","Brooklyn.Nets",33
"494","2014-12","Brooklyn.Nets",36
"495","2015-01","Brooklyn.Nets",29
"496","2015-02","Brooklyn.Nets",23
"497","2015-03","Brooklyn.Nets",23
"498","2015-04","Brooklyn.Nets",45
"499","2015-05","Brooklyn.Nets",11
"500","2015-06","Brooklyn.Nets",10
"501","2015-07","Brooklyn.Nets",13
"502","2015-08","Brooklyn.Nets",9
"503","2015-09","Brooklyn.Nets",8
"504","2015-10","Brooklyn.Nets",17
"505","2015-11","Brooklyn.Nets",27
"506","2015-12","Brooklyn.Nets",26
"507","2016-01","Brooklyn.Nets",24
"508","2016-02","Brooklyn.Nets",21
"509","2016-03","Brooklyn.Nets",19
"510","2016-04","Brooklyn.Nets",12
"511","2016-05","Brooklyn.Nets",8
"512","2016-06","Brooklyn.Nets",13
"513","2016-07","Brooklyn.Nets",27
"514","2016-08","Brooklyn.Nets",9
"515","2016-09","Brooklyn.Nets",10
"516","2016-10","Brooklyn.Nets",26
"517","2016-11","Brooklyn.Nets",28
"518","2016-12","Brooklyn.Nets",26
"519","2017-01","Brooklyn.Nets",24
"520","2017-02","Brooklyn.Nets",24
"521","2017-03","Brooklyn.Nets",26
"522","2017-04","Brooklyn.Nets",17
"523","2017-05","Brooklyn.Nets",10
"524","2017-06","Brooklyn.Nets",19
"525","2017-07","Brooklyn.Nets",26
"526","2017-08","Brooklyn.Nets",14
"527","2017-09","Brooklyn.Nets",12
"528","2017-10","Brooklyn.Nets",34
"529","2017-11","Brooklyn.Nets",28
"530","2017-12","Brooklyn.Nets",28
"531","2018-01","Brooklyn.Nets",26
"532","2018-02","Brooklyn.Nets",22
"533","2018-03","Brooklyn.Nets",19
"534","2018-04","Brooklyn.Nets",11
"535","2018-05","Brooklyn.Nets",7
"536","2018-06","Brooklyn.Nets",14
"537","2018-07","Brooklyn.Nets",16
"538","2018-08","Brooklyn.Nets",9
"539","2018-09","Brooklyn.Nets",10
"540","2018-10","Brooklyn.Nets",21
"541","2018-11","Brooklyn.Nets",28
"542","2018-12","Brooklyn.Nets",29
"543","2019-01","Brooklyn.Nets",35
"544","2004-01","Charlotte.Hornets",3
"545","2004-02","Charlotte.Hornets",1
"546","2004-03","Charlotte.Hornets",1
"547","2004-04","Charlotte.Hornets",1
"548","2004-05","Charlotte.Hornets",1
"549","2004-06","Charlotte.Hornets",3
"550","2004-07","Charlotte.Hornets",1
"551","2004-08","Charlotte.Hornets",3
"552","2004-09","Charlotte.Hornets",2
"553","2004-10","Charlotte.Hornets",2
"554","2004-11","Charlotte.Hornets",4
"555","2004-12","Charlotte.Hornets",3
"556","2005-01","Charlotte.Hornets",3
"557","2005-02","Charlotte.Hornets",3
"558","2005-03","Charlotte.Hornets",3
"559","2005-04","Charlotte.Hornets",3
"560","2005-05","Charlotte.Hornets",3
"561","2005-06","Charlotte.Hornets",1
"562","2005-07","Charlotte.Hornets",2
"563","2005-08","Charlotte.Hornets",1
"564","2005-09","Charlotte.Hornets",2
"565","2005-10","Charlotte.Hornets",2
"566","2005-11","Charlotte.Hornets",5
"567","2005-12","Charlotte.Hornets",2
"568","2006-01","Charlotte.Hornets",4
"569","2006-02","Charlotte.Hornets",3
"570","2006-03","Charlotte.Hornets",2
"571","2006-04","Charlotte.Hornets",1
"572","2006-05","Charlotte.Hornets",2
"573","2006-06","Charlotte.Hornets",2
"574","2006-07","Charlotte.Hornets",1
"575","2006-08","Charlotte.Hornets",2
"576","2006-09","Charlotte.Hornets",2
"577","2006-10","Charlotte.Hornets",2
"578","2006-11","Charlotte.Hornets",3
"579","2006-12","Charlotte.Hornets",4
"580","2007-01","Charlotte.Hornets",2
"581","2007-02","Charlotte.Hornets",2
"582","2007-03","Charlotte.Hornets",2
"583","2007-04","Charlotte.Hornets",2
"584","2007-05","Charlotte.Hornets",2
"585","2007-06","Charlotte.Hornets",2
"586","2007-07","Charlotte.Hornets",1
"587","2007-08","Charlotte.Hornets",2
"588","2007-09","Charlotte.Hornets",1
"589","2007-10","Charlotte.Hornets",2
"590","2007-11","Charlotte.Hornets",3
"591","2007-12","Charlotte.Hornets",2
"592","2008-01","Charlotte.Hornets",2
"593","2008-02","Charlotte.Hornets",2
"594","2008-03","Charlotte.Hornets",3
"595","2008-04","Charlotte.Hornets",3
"596","2008-05","Charlotte.Hornets",4
"597","2008-06","Charlotte.Hornets",2
"598","2008-07","Charlotte.Hornets",2
"599","2008-08","Charlotte.Hornets",2
